about,aboat
Feeling,Eeling
Feelings,Eelings
Friday,Fry-Day
Friendly,Frondly
Gallop,Scallop
Girl,Gill
Girlfriend,Gillfrond
Girlfriends,Gillfronds
Girls,Gills
God,Cod
Godawful,Codawful
Gods,Cods
Grab,Crab
Grabbed,Crabbed
Grabbing,Crabbing
Grabs,Crabs
Group,Grouper
Guilt,Gillt
Hearing,Herring
Hell,Shell
Hells,Shells
Inevitable,Inevitibubble
Insure,Inshore
Invisible,Invisibubble
Jaw,Craw
Jelly,Jellyfish
Kid,Squid
Kids,Squids
Kill,Krill
Killing,Krilling
Killings,Krillings
More,Moray
More,Moore
Muscle,Mussel
Muscles,Mussels
Must,Mast
Not,Naut
Nothing,Nofin
Official,Ofishal
Pawn,Prawn
Place,Plaice
Plank,Plankton
Proposition,Porpoisition
Purse,Octopurse
Real,Reel
Really,Reely
Row,Roe
Sake,Hake
Sakes,Hakes
Sale,Sail
Sales,Sails
Scram,Clam
See,Sea
Seem,Bream
Seen,Sean
Self,Shellf
Selfish,Shellfish
Selfishness,Shellfishness
Shake,Hake
Shakes,Hakes
She'Ll,Shell
Side,Tide
Sides,Tides
Sike,Pike
Simp,Shrimp
Simping,Shrimping
Simply,Shrimply
Sit,Perch
Slam,Clam
Someone,Salmon
Something,Somefin
Something'S,Somefin'S
Sophisticated,Sofishticated
Soul,Sole
Summon,Salmon
Summoning,Salmoning
Sure,Shore
Sure,Shore
Surgeon,Sturgeon
Surgeons,Sturgeons
Total,Turtle
Tune,Tuna
Unbelieveable,Unbelieveabubble
Well,Whale
What'Re,Water
While,Whale
ABOUT,ABOAT
ANYMORE,ANEMONEMORE
ANYTHING,ANYFIN
ATROCIOUS,A-TROUT-CIOUS
BARK,SHARK
BELIEVEABLE,BELIEVEABUBBLE
BET,BAIT
BETTER,BETTA
BIKE,PIKE
BLABBERMOUTH,BLUBBERMOUTH
BOY,BUOY
BOYS,BUOYS
BRILLIANT,GILLIANT
CARD,COD
CATS,CATFISH
CORRAL,CORAL
COURTESY,COURTESEA
COY,KOI
CRACKING,KRAKEN
CRAP,CARP
CRYING,BLUBBERING
CUDDLE,CUTTLE
DISCERNABLE,DISCERNABUBBLE
DOUBT,TROUT
DOUBTING,TROUTING
ENEMIES,ANEMONIES
ENEMY,ANEMONY
FANTASTIC,FINTASTIC
FEEL,EEL
FEELING,EELING
FEELINGS,EELINGS
FRIDAY,FRY-DAY
FRIENDLY,FRONDLY
GALLOP,SCALLOP
GIRL,GILL
GIRLFRIEND,GILLFROND
GIRLFRIENDS,GILLFRONDS
GIRLS,GILLS
GOD,COD
GODAWFUL,CODAWFUL
GODS,CODS
GRAB,CRAB
GRABBED,CRABBED
GRABBING,CRABBING
GRABS,CRABS
GROUP,GROUPER
GUILT,GILLT
HEARING,HERRING
HELL,SHELL
HELLS,SHELLS
INEVITABLE,INEVITIBUBBLE
INSURE,INSHORE
INVISIBLE,INVISIBUBBLE
JAW,CRAW
JELLY,JELLYFISH
KID,SQUID
KIDS,SQUIDS
KILL,KRILL
KILLING,KRILLING
KILLINGS,KRILLINGS
MORE,MORAY
MORE,MOORE
MUSCLE,MUSSEL
MUSCLES,MUSSELS
MUST,MAST
NOT,NAUT
NOTHING,NOFIN
OFFICIAL,OFISHAL
PAWN,PRAWN
PLACE,PLAICE
PLANK,PLANKTON
PROPOSITION,PORPOISITION
PURSE,OCTOPURSE
REAL,REEL
REALLY,REELY
ROW,ROE
SAKE,HAKE
SAKES,HAKES
SALE,SAIL
SALES,SAILS
SCRAM,CLAM
SEE,SEA
SEEM,BREAM
SEEN,SEAN
SELF,SHELLF
SELFISH,SHELLFISH
SELFISHNESS,SHELLFISHNESS
SHAKE,HAKE
SHAKES,HAKES
SHE'LL,SHELL
SIDE,TIDE
SIDES,TIDES
SIKE,PIKE
SIMP,SHRIMP
SIMPING,SHRIMPING
SIMPLY,SHRIMPLY
SIT,PERCH
SLAM,CLAM
SOMEONE,SALMON
SOMETHING,SOMEFIN
SOMETHING'S,SOMEFIN'S
SOPHISTICATED,SOFISHTICATED
SOUL,SOLE
SUMMON,SALMON
SUMMONING,SALMONING
SURE,SHORE
SURE,SHORE
SURGEON,STURGEON
SURGEONS,STURGEONS
TOTAL,TURTLE
TUNE,TUNA
UNBELIEVEABLE,UNBELIEVEABUBBLE
WELL,WHALE
WHAT'RE,WATER
WHILE,WHALE
